Department,Caseload,ActualValue,ForecastDate,ForecastValue,Variance,VariancePerc
ComSch_Enrollment,2010-09-01T00:00:00Z,987613,2011-06-01T00:00:00Z,987631,-18,-1.8225430347974093e-5
ComSch_Enrollment,2010-09-01T00:00:00Z,987613,2011-11-01T00:00:00Z,987631,-18,-1.8225430347974093e-5
ComSch_Enrollment,2010-10-01T00:00:00Z,999852,2011-06-01T00:00:00Z,999862,-10,-1.0001380190466284e-5
ComSch_Enrollment,2010-10-01T00:00:00Z,999852,2011-11-01T00:00:00Z,999862,-10,-1.0001380190466284e-5
ComSch_Enrollment,2010-11-01T00:00:00Z,997415,2011-06-01T00:00:00Z,997535,-120,-1.2029653094878876e-4
ComSch_Enrollment,2010-11-01T00:00:00Z,997415,2011-11-01T00:00:00Z,997535,-120,-1.2029653094878876e-4
ComSch_Enrollment,2010-12-01T00:00:00Z,993693,2011-06-01T00:00:00Z,993771,-78,-7.848890740422089e-5
ComSch_Enrollment,2010-12-01T00:00:00Z,993693,2011-11-01T00:00:00Z,993771,-78,-7.848890740422089e-5
ComSch_Enrollment,2011-01-01T00:00:00Z,992167,2011-06-01T00:00:00Z,992289,-122,-1.2294805243230552e-4
ComSch_Enrollment,2011-01-01T00:00:00Z,992167,2011-11-01T00:00:00Z,992289,-122,-1.2294805243230552e-4
ComSch_Enrollment,2011-02-01T00:00:00Z,991075,2011-06-01T00:00:00Z,991185,-110,-1.1097827348073266e-4
ComSch_Enrollment,2011-02-01T00:00:00Z,991075,2011-11-01T00:00:00Z,991185,-110,-1.1097827348073266e-4
ComSch_Enrollment,2011-03-01T00:00:00Z,989571,2011-06-01T00:00:00Z,989624,-53,-5.3555693879695724e-5
ComSch_Enrollment,2011-03-01T00:00:00Z,989571,2011-11-01T00:00:00Z,989624,-53,-5.3555693879695724e-5
ComSch_Enrollment,2011-04-01T00:00:00Z,986539,2011-06-01T00:00:00Z,986907,-368,-3.728821459367499e-4
ComSch_Enrollment,2011-04-01T00:00:00Z,986539,2011-11-01T00:00:00Z,986907,-368,-3.728821459367499e-4
ComSch_Enrollment,2011-05-01T00:00:00Z,984149,2011-06-01T00:00:00Z,983934,215,2.1851059115753698e-4
ComSch_Enrollment,2011-05-01T00:00:00Z,984149,2011-11-01T00:00:00Z,983934,215,2.1851059115753698e-4
ComSch_Enrollment,2011-09-01T00:00:00Z,974762,2011-06-01T00:00:00Z,995611,-20849,-0.020940909652464666
ComSch_Enrollment,2011-09-01T00:00:00Z,974762,2011-11-01T00:00:00Z,995611,-20849,-0.020940909652464666
ComSch_Enrollment,2011-09-01T00:00:00Z,974762,2012-02-01T00:00:00Z,988269,-13507,-0.013667331465420852
