Department,Caseload,ActualValue,ForecastDate,ForecastValue,Variance,VariancePerc
ComSch_Enrollment,Sep-10,987613,Jun-11,987631,-18,-0.002%
ComSch_Enrollment,Sep-10,987613,Nov-11,987631,-18,-0.002%
ComSch_Enrollment,Oct-10,999852,Jun-11,999862,-10,-0.001%
ComSch_Enrollment,Oct-10,999852,Nov-11,999862,-10,-0.001%
ComSch_Enrollment,Nov-10,997415,Jun-11,997535,-120,-0.012%
ComSch_Enrollment,Nov-10,997415,Nov-11,997535,-120,-0.012%
ComSch_Enrollment,Dec-10,993693,Jun-11,993771,-78,-0.008%
ComSch_Enrollment,Dec-10,993693,Nov-11,993771,-78,-0.008%
ComSch_Enrollment,Jan-11,992167,Jun-11,992289,-122,-0.012%
ComSch_Enrollment,Jan-11,992167,Nov-11,992289,-122,-0.012%
ComSch_Enrollment,Feb-11,991075,Jun-11,991185,-110,-0.011%
ComSch_Enrollment,Feb-11,991075,Nov-11,991185,-110,-0.011%
ComSch_Enrollment,Mar-11,989571,Jun-11,989624,-53,-0.005%
ComSch_Enrollment,Mar-11,989571,Nov-11,989624,-53,-0.005%
ComSch_Enrollment,Apr-11,986539,Jun-11,986907,-368,-0.037%
ComSch_Enrollment,Apr-11,986539,Nov-11,986907,-368,-0.037%
ComSch_Enrollment,May-11,984149,Jun-11,983934,215,0.022%
ComSch_Enrollment,May-11,984149,Nov-11,983934,215,0.022%
ComSch_Enrollment,Sep-11,974762,Jun-11,995611,-20849,-2.094%
ComSch_Enrollment,Sep-11,974762,Nov-11,995611,-20849,-2.094%
ComSch_Enrollment,Sep-11,974762,Feb-12,988269,-13507,-1.367%
ComSch_Enrollment,Sep-11,974762,Jun-12,988168,-13406,-1.357%
ComSch_Enrollment,Sep-11,974762,Nov-12,974762,0,0.000%
ComSch_Enrollment,Oct-11,997117,Jun-11,1006250,-9133,-0.908%
ComSch_Enrollment,Oct-11,997117,Nov-11,1006250,-9133,-0.908%
ComSch_Enrollment,Oct-11,997117,Feb-12,997853,-736,-0.074%
ComSch_Enrollment,Oct-11,997117,Jun-12,997675,-558,-0.056%
ComSch_Enrollment,Oct-11,997117,Nov-12,997117,0,0.000%
